config,node,ce_total_mm2,baseline_name,baseline_process,baseline_area_mm2,ce_pct_of_core
Server-class (CE-Full),5nm,0.03211,"SiFive U84 (single core, no L2)",7nm,0.28,14.743
Server-class (CE-Full),5nm,0.03211,SiFive U74-class in-order (estimated),28nm,0.6,20.385
Server-class (CE-Full),5nm,0.03211,"ARM Cortex-A55 (single core, no L2)",7nm,0.32,12.9
Server-class (CE-Full),5nm,0.03211,SiFive P670-class OoO with vector (estimated),5nm,0.85,3.777
Server-class (CE-Full),3nm-E,0.03211,"SiFive U84 (single core, no L2)",7nm,0.28,14.743
Server-class (CE-Full),3nm-E,0.03211,SiFive U74-class in-order (estimated),28nm,0.6,20.385
Server-class (CE-Full),3nm-E,0.03211,"ARM Cortex-A55 (single core, no L2)",7nm,0.32,12.9
Server-class (CE-Full),3nm-E,0.03211,SiFive P670-class OoO with vector (estimated),5nm,0.85,3.777
Server-class (CE-Full),3nm-B,0.03043,"SiFive U84 (single core, no L2)",7nm,0.28,14.743
Server-class (CE-Full),3nm-B,0.03043,SiFive U74-class in-order (estimated),28nm,0.6,20.385
Server-class (CE-Full),3nm-B,0.03043,"ARM Cortex-A55 (single core, no L2)",7nm,0.32,12.9
Server-class (CE-Full),3nm-B,0.03043,SiFive P670-class OoO with vector (estimated),5nm,0.85,3.777
Server-class (CE-Full),Intel-4,0.03669,"SiFive U84 (single core, no L2)",7nm,0.28,14.743
Server-class (CE-Full),Intel-4,0.03669,SiFive U74-class in-order (estimated),28nm,0.6,20.385
Server-class (CE-Full),Intel-4,0.03669,"ARM Cortex-A55 (single core, no L2)",7nm,0.32,12.9
Server-class (CE-Full),Intel-4,0.03669,SiFive P670-class OoO with vector (estimated),5nm,0.85,3.777
Server-class (CE-Full),Intel-7,0.0477,"SiFive U84 (single core, no L2)",7nm,0.28,14.743
Server-class (CE-Full),Intel-7,0.0477,SiFive U74-class in-order (estimated),28nm,0.6,20.385
Server-class (CE-Full),Intel-7,0.0477,"ARM Cortex-A55 (single core, no L2)",7nm,0.32,12.9
Server-class (CE-Full),Intel-7,0.0477,SiFive P670-class OoO with vector (estimated),5nm,0.85,3.777
